,Volume (t-5),Volume (t-4),Volume (t-3),Volume (t-2),Volume (t-1),Close (t-5),Close (t-4),Close (t-3),Close (t-2),Close (t-1),Close (t),movement
5174,142565244,194688663.0,223864044.0,267630167.0,150909694.0,5.2453,5.2735,5.4106,5.5016,5.5963,5.4849,0
5175,194688663,223864044.0,267630167.0,150909694.0,153824003.0,5.2735,5.4106,5.5016,5.5963,5.4849,5.4491,0
5176,223864044,267630167.0,150909694.0,153824003.0,170221155.0,5.4106,5.5016,5.5963,5.4849,5.4491,5.4427,0
5177,267630167,150909694.0,153824003.0,170221155.0,98439294.0,5.5016,5.5963,5.4849,5.4491,5.4427,5.4466,1
5178,150909694,153824003.0,170221155.0,98439294.0,76349185.0,5.5963,5.4849,5.4491,5.4427,5.4466,5.3465,0
5179,153824003,170221155.0,98439294.0,76349185.0,128646798.0,5.4849,5.4491,5.4427,5.4466,5.3465,5.481,1
5180,170221155,98439294.0,76349185.0,128646798.0,109881234.0,5.4491,5.4427,5.4466,5.3465,5.481,5.3364,0
5181,98439294,76349185.0,128646798.0,109881234.0,177446775.0,5.4427,5.4466,5.3465,5.481,5.3364,5.2366,0
5182,76349185,128646798.0,109881234.0,177446775.0,178626772.0,5.4466,5.3465,5.481,5.3364,5.2366,5.2621,1
5183,128646798,109881234.0,177446775.0,178626772.0,161757381.0,5.3465,5.481,5.3364,5.2366,5.2621,5.3645,1
5184,109881234,177446775.0,178626772.0,161757381.0,155700131.0,5.481,5.3364,5.2366,5.2621,5.3645,5.4209,1
5185,177446775,178626772.0,161757381.0,155700131.0,115875061.0,5.3364,5.2366,5.2621,5.3645,5.4209,5.5782,1
5186,178626772,161757381.0,155700131.0,115875061.0,141597901.0,5.2366,5.2621,5.3645,5.4209,5.5782,5.6013,1
5187,161757381,155700131.0,115875061.0,141597901.0,181285925.0,5.2621,5.3645,5.4209,5.5782,5.6013,5.3684,0
5188,155700131,115875061.0,141597901.0,181285925.0,229275996.0,5.3645,5.4209,5.5782,5.6013,5.3684,5.4632,1
5189,115875061,141597901.0,181285925.0,229275996.0,274084040.0,5.4209,5.5782,5.6013,5.3684,5.4632,5.2556,0
5190,141597901,181285925.0,229275996.0,274084040.0,392996341.0,5.5782,5.6013,5.3684,5.4632,5.2556,4.7717,0
5191,181285925,229275996.0,274084040.0,392996341.0,769047131.0,5.6013,5.3684,5.4632,5.2556,4.7717,4.5271,0
5192,229275996,274084040.0,392996341.0,769047131.0,482438341.0,5.3684,5.4632,5.2556,4.7717,4.5271,4.5615,1
5193,274084040,392996341.0,769047131.0,482438341.0,370169445.0,5.4632,5.2556,4.7717,4.5271,4.5615,4.7497,1
5194,392996341,769047131.0,482438341.0,370169445.0,303124477.0,5.2556,4.7717,4.5271,4.5615,4.7497,4.5476,0
5195,769047131,482438341.0,370169445.0,303124477.0,266453208.0,4.7717,4.5271,4.5615,4.7497,4.5476,4.7615,1
5196,482438341,370169445.0,303124477.0,266453208.0,212976462.0,4.5271,4.5615,4.7497,4.5476,4.7615,4.5462,0
5197,370169445,303124477.0,266453208.0,212976462.0,234139228.0,4.5615,4.7497,4.5476,4.7615,4.5462,4.7358,1
5198,303124477,266453208.0,212976462.0,234139228.0,208444405.0,4.7497,4.5476,4.7615,4.5462,4.7358,4.6345,0
5199,266453208,212976462.0,234139228.0,208444405.0,226668409.0,4.5476,4.7615,4.5462,4.7358,4.6345,4.6038,0
5200,212976462,234139228.0,208444405.0,226668409.0,171368346.0,4.7615,4.5462,4.7358,4.6345,4.6038,4.5513,0
5201,234139228,208444405.0,226668409.0,171368346.0,160641789.0,4.5462,4.7358,4.6345,4.6038,4.5513,4.6177,1
5202,208444405,226668409.0,171368346.0,160641789.0,187399760.0,4.7358,4.6345,4.6038,4.5513,4.6177,4.6653,1
5203,226668409,171368346.0,160641789.0,187399760.0,129954717.0,4.6345,4.6038,4.5513,4.6177,4.6653,4.637,0
5204,171368346,160641789.0,187399760.0,129954717.0,138580983.0,4.6038,4.5513,4.6177,4.6653,4.637,4.7575,1
5205,160641789,187399760.0,129954717.0,138580983.0,126218196.0,4.5513,4.6177,4.6653,4.637,4.7575,4.6972,0
5206,187399760,129954717.0,138580983.0,126218196.0,108044030.0,4.6177,4.6653,4.637,4.7575,4.6972,4.7691,1
