Volume (t-5),Volume (t-4),Volume (t-3),Volume (t-2),Volume (t-1),Close (t-5),Close (t-4),Close (t-3),Close (t-2),Close (t-1),Close (t),movement
54648593,46237027.0,40102491.0,35017445.0,35136150.0,1.4651,1.4691,1.4651,1.5048,1.5213,1.5369,1
46237027,40102491.0,35017445.0,35136150.0,48654620.0,1.4691,1.4651,1.5048,1.5213,1.5369,1.561,1
40102491,35017445.0,35136150.0,48654620.0,38987410.0,1.4651,1.5048,1.5213,1.5369,1.561,1.4406,0
35017445,35136150.0,48654620.0,38987410.0,118146028.0,1.5048,1.5213,1.5369,1.561,1.4406,1.4327,0
35136150,48654620.0,38987410.0,118146028.0,53580349.0,1.5213,1.5369,1.561,1.4406,1.4327,1.4651,1
48654620,38987410.0,118146028.0,53580349.0,36797844.0,1.5369,1.561,1.4406,1.4327,1.4651,1.4162,0
38987410,118146028.0,53580349.0,36797844.0,45171913.0,1.561,1.4406,1.4327,1.4651,1.4162,1.4327,1
118146028,53580349.0,36797844.0,45171913.0,47833113.0,1.4406,1.4327,1.4651,1.4162,1.4327,1.4691,1
53580349,36797844.0,45171913.0,47833113.0,37641170.0,1.4327,1.4651,1.4162,1.4327,1.4691,1.4486,0
36797844,45171913.0,47833113.0,37641170.0,668424.0,1.4651,1.4162,1.4327,1.4691,1.4486,1.4882,1
45171913,47833113.0,37641170.0,668424.0,37438158.0,1.4162,1.4327,1.4691,1.4486,1.4882,1.5124,1
47833113,37641170.0,668424.0,37438158.0,69934939.0,1.4327,1.4691,1.4486,1.4882,1.5124,1.5124,0
37641170,668424.0,37438158.0,69934939.0,38456423.0,1.4691,1.4486,1.4882,1.5124,1.5124,1.4969,0
668424,37438158.0,69934939.0,38456423.0,25297149.0,1.4486,1.4882,1.5124,1.5124,1.4969,1.4651,0
37438158,69934939.0,38456423.0,25297149.0,19115778.0,1.4882,1.5124,1.5124,1.4969,1.4651,1.4572,0
69934939,38456423.0,25297149.0,19115778.0,33386984.0,1.5124,1.5124,1.4969,1.4651,1.4572,1.4327,0
38456423,25297149.0,19115778.0,33386984.0,38837491.0,1.5124,1.4969,1.4651,1.4572,1.4327,1.4085,0
