,Volume (t-5),Volume (t-4),Volume (t-3),Volume (t-2),Volume (t-1),Close (t-5),Close (t-4),Close (t-3),Close (t-2),Close (t-1),Close (t),movement
112,9941980,12516300.0,11901320.0,10600180.0,8205280.0,237.71571044921876,247.34434204101564,249.9409393310547,242.45345153808594,242.35935974121094,237.52152404785156,0
113,12516300,11901320.0,10600180.0,8205280.0,11670440.0,247.34434204101564,249.9409393310547,242.45345153808594,242.35935974121094,237.52152404785156,230.25425415039064,0
114,11901320,10600180.0,8205280.0,11670440.0,8637380.0,249.9409393310547,242.45345153808594,242.35935974121094,237.52152404785156,230.25425415039064,236.34434204101564,1
115,10600180,8205280.0,11670440.0,8637380.0,11245320.0,242.45345153808594,242.35935974121094,237.52152404785156,230.25425415039064,236.34434204101564,246.57257080078125,1
116,8205280,11670440.0,8637380.0,11245320.0,11103300.0,242.35935974121094,237.52152404785156,230.25425415039064,236.34434204101564,246.57257080078125,246.24424438476564,0
117,11670440,8637380.0,11245320.0,11103300.0,12220760.0,237.52152404785156,230.25425415039064,236.34434204101564,246.57257080078125,246.24424438476564,245.69769897460938,0
118,8637380,11245320.0,11103300.0,12220760.0,10935200.0,230.25425415039064,236.34434204101564,246.57257080078125,246.24424438476564,245.69769897460938,242.86586914062497,0
119,11245320,11103300.0,12220760.0,10935200.0,18197200.0,236.34434204101564,246.57257080078125,246.24424438476564,245.69769897460938,242.86586914062497,233.50350341796874,0
120,11103300,12220760.0,10935200.0,18197200.0,9642880.0,246.57257080078125,246.24424438476564,245.69769897460938,242.86586914062497,233.50350341796874,233.08708801269532,0
121,12220760,10935200.0,18197200.0,9642880.0,9609700.0,246.24424438476564,245.69769897460938,242.86586914062497,233.50350341796874,233.08708801269532,233.8368347167969,1
122,10935200,18197200.0,9642880.0,9609700.0,11408460.0,245.69769897460938,242.86586914062497,233.50350341796874,233.08708801269532,233.8368347167969,223.70970764160157,0
123,18197200,9642880.0,9609700.0,11408460.0,14861040.0,242.86586914062497,233.50350341796874,233.08708801269532,233.8368347167969,223.70970764160157,226.33633728027343,1
124,9642880,9609700.0,11408460.0,14861040.0,10676180.0,233.50350341796874,233.08708801269532,233.8368347167969,223.70970764160157,226.33633728027343,222.977978515625,0
125,9609700,11408460.0,14861040.0,10676180.0,10485220.0,233.08708801269532,233.8368347167969,223.70970764160157,226.33633728027343,222.977978515625,231.1351348876953,1
126,11408460,14861040.0,10676180.0,10485220.0,9607060.0,233.8368347167969,223.70970764160157,226.33633728027343,222.977978515625,231.1351348876953,231.44043884277343,1
127,14861040,10676180.0,10485220.0,9607060.0,8755440.0,223.70970764160157,226.33633728027343,222.977978515625,231.1351348876953,231.44043884277343,234.41141357421876,1
128,10676180,10485220.0,9607060.0,8755440.0,6532600.0,226.33633728027343,222.977978515625,231.1351348876953,231.44043884277343,234.41141357421876,235.9119110107422,1
129,10485220,9607060.0,8755440.0,6532600.0,7776640.0,222.977978515625,231.1351348876953,231.44043884277343,234.41141357421876,235.9119110107422,239.11211242675782,1
130,9607060,8755440.0,6532600.0,7776640.0,14588220.0,231.1351348876953,231.44043884277343,234.41141357421876,235.9119110107422,239.11211242675782,236.8718719482422,0
131,8755440,6532600.0,7776640.0,14588220.0,6958060.0,231.44043884277343,234.41141357421876,235.9119110107422,239.11211242675782,236.8718719482422,235.0030029296875,0
132,6532600,7776640.0,14588220.0,6958060.0,6936740.0,234.41141357421876,235.9119110107422,239.11211242675782,236.8718719482422,235.0030029296875,232.29229431152345,0
133,7776640,14588220.0,6958060.0,6936740.0,8462000.0,235.9119110107422,239.11211242675782,236.8718719482422,235.0030029296875,232.29229431152345,236.40740966796875,1
134,14588220,6958060.0,6936740.0,8462000.0,9356580.0,239.11211242675782,236.8718719482422,235.0030029296875,232.29229431152345,236.40740966796875,244.39139099121093,1
135,6958060,6936740.0,8462000.0,9356580.0,12351680.0,236.8718719482422,235.0030029296875,232.29229431152345,236.40740966796875,244.39139099121093,256.2182220458984,1
136,6936740,8462000.0,9356580.0,12351680.0,16329340.0,235.0030029296875,232.29229431152345,236.40740966796875,244.39139099121093,256.2182220458984,254.22221984863282,0
137,8462000,9356580.0,12351680.0,16329340.0,11620560.0,232.29229431152345,236.40740966796875,244.39139099121093,256.2182220458984,254.22221984863282,256.20420227050784,1
138,9356580,12351680.0,16329340.0,11620560.0,9635580.0,236.40740966796875,244.39139099121093,256.2182220458984,254.22221984863282,256.20420227050784,263.65965576171874,1
139,12351680,16329340.0,11620560.0,9635580.0,12431380.0,244.39139099121093,256.2182220458984,254.22221984863282,256.20420227050784,263.65965576171874,267.112109375,1
