Volume (t-5),Volume (t-4),Volume (t-3),Volume (t-2),Volume (t-1),Close (t-5),Close (t-4),Close (t-3),Close (t-2),Close (t-1),Close (t),movement
317756160,47710080.0,18172800.0,15886080.0,18518400.0,0.0996527776122093,0.0930555552244186,0.0956597208976745,0.0963541656732559,0.102083334326744,0.1026909708976745,1
47710080,18172800.0,15886080.0,18518400.0,27613440.0,0.0930555552244186,0.0956597208976745,0.0963541656732559,0.102083334326744,0.1026909708976745,0.1144097208976745,1
18172800,15886080.0,18518400.0,27613440.0,46051200.0,0.0956597208976745,0.0963541656732559,0.102083334326744,0.1026909708976745,0.1144097208976745,0.1102430537343025,0
15886080,18518400.0,27613440.0,46051200.0,8386560.0,0.0963541656732559,0.102083334326744,0.1026909708976745,0.1144097208976745,0.1102430537343025,0.1111111104488372,1
18518400,27613440.0,46051200.0,8386560.0,6698880.0,0.102083334326744,0.1026909708976745,0.1144097208976745,0.1102430537343025,0.1111111104488372,0.1093749985098838,0
27613440,46051200.0,8386560.0,6698880.0,19486080.0,0.1026909708976745,0.1144097208976745,0.1102430537343025,0.1111111104488372,0.1093749985098838,0.1144097223877906,1
46051200,8386560.0,6698880.0,19486080.0,21248640.0,0.1144097208976745,0.1102430537343025,0.1111111104488372,0.1093749985098838,0.1144097223877906,0.1182291656732559,1
8386560,6698880.0,19486080.0,21248640.0,9319680.0,0.1102430537343025,0.1111111104488372,0.1093749985098838,0.1144097223877906,0.1182291656732559,0.1119791656732559,0
6698880,19486080.0,21248640.0,9319680.0,8000640.0,0.1111111104488372,0.1093749985098838,0.1144097223877906,0.1182291656732559,0.1119791656732559,0.109114584326744,0
19486080,21248640.0,9319680.0,8000640.0,7856640.0,0.1093749985098838,0.1144097223877906,0.1182291656732559,0.1119791656732559,0.109114584326744,0.1069444432854652,0
21248640,9319680.0,8000640.0,7856640.0,21110400.0,0.1144097223877906,0.1182291656732559,0.1119791656732559,0.109114584326744,0.1069444432854652,0.1065972238779068,0
9319680,8000640.0,7856640.0,21110400.0,38148480.0,0.1182291656732559,0.1119791656732559,0.109114584326744,0.1069444432854652,0.1065972238779068,0.0973090276122093,0
8000640,7856640.0,21110400.0,38148480.0,30654720.0,0.1119791656732559,0.109114584326744,0.1069444432854652,0.1065972238779068,0.0973090276122093,0.1013888895511627,1
7856640,21110400.0,38148480.0,30654720.0,9066240.0,0.109114584326744,0.1069444432854652,0.1065972238779068,0.0973090276122093,0.1013888895511627,0.1065972223877906,1
21110400,38148480.0,30654720.0,9066240.0,15540480.0,0.1069444432854652,0.1065972238779068,0.0973090276122093,0.1013888895511627,0.1065972223877906,0.0996527776122093,0
38148480,30654720.0,9066240.0,15540480.0,16289280.0,0.1065972238779068,0.0973090276122093,0.1013888895511627,0.1065972223877906,0.0996527776122093,0.0970486104488372,0
30654720,9066240.0,15540480.0,16289280.0,7378560.0,0.0973090276122093,0.1013888895511627,0.1065972223877906,0.0996527776122093,0.0970486104488372,0.1046006932854652,1
9066240,15540480.0,16289280.0,7378560.0,11180160.0,0.1013888895511627,0.1065972223877906,0.0996527776122093,0.0970486104488372,0.1046006932854652,0.1036458313465118,0
15540480,16289280.0,7378560.0,11180160.0,19774080.0,0.1065972223877906,0.0996527776122093,0.0970486104488372,0.1046006932854652,0.1036458313465118,0.1,0
16289280,7378560.0,11180160.0,19774080.0,10892160.0,0.0996527776122093,0.0970486104488372,0.1046006932854652,0.1036458313465118,0.1,0.102604167163372,1
7378560,11180160.0,19774080.0,10892160.0,26248320.0,0.0970486104488372,0.1046006932854652,0.1036458313465118,0.1,0.102604167163372,0.1006944447755813,0
