,Volume (t-5),Volume (t-4),Volume (t-3),Volume (t-2),Volume (t-1),Close (t-5),Close (t-4),Close (t-3),Close (t-2),Close (t-1),Close (t),movement
0,317756160,47710080.0,18172800.0,15886080.0,18518400.0,0.09965277761220932,0.09305555522441863,0.09565972089767456,0.09635416567325591,0.10208333432674407,0.10269097089767457,1
1,47710080,18172800.0,15886080.0,18518400.0,27613440.0,0.09305555522441863,0.09565972089767456,0.09635416567325591,0.10208333432674407,0.10269097089767457,0.11440972089767457,1
2,18172800,15886080.0,18518400.0,27613440.0,46051200.0,0.09565972089767456,0.09635416567325591,0.10208333432674407,0.10269097089767457,0.11440972089767457,0.11024305373430252,0
3,15886080,18518400.0,27613440.0,46051200.0,8386560.0,0.09635416567325591,0.10208333432674407,0.10269097089767457,0.11440972089767457,0.11024305373430252,0.11111111044883729,1
4,18518400,27613440.0,46051200.0,8386560.0,6698880.0,0.10208333432674407,0.10269097089767457,0.11440972089767457,0.11024305373430252,0.11111111044883729,0.10937499850988389,0
5,27613440,46051200.0,8386560.0,6698880.0,19486080.0,0.10269097089767457,0.11440972089767457,0.11024305373430252,0.11111111044883729,0.10937499850988389,0.11440972238779068,1
6,46051200,8386560.0,6698880.0,19486080.0,21248640.0,0.11440972089767457,0.11024305373430252,0.11111111044883729,0.10937499850988389,0.11440972238779068,0.11822916567325592,1
7,8386560,6698880.0,19486080.0,21248640.0,9319680.0,0.11024305373430252,0.11111111044883729,0.10937499850988389,0.11440972238779068,0.11822916567325592,0.11197916567325591,0
8,6698880,19486080.0,21248640.0,9319680.0,8000640.0,0.11111111044883729,0.10937499850988389,0.11440972238779068,0.11822916567325592,0.11197916567325591,0.10911458432674408,0
9,19486080,21248640.0,9319680.0,8000640.0,7856640.0,0.10937499850988389,0.11440972238779068,0.11822916567325592,0.11197916567325591,0.10911458432674408,0.10694444328546523,0
10,21248640,9319680.0,8000640.0,7856640.0,21110400.0,0.11440972238779068,0.11822916567325592,0.11197916567325591,0.10911458432674408,0.10694444328546523,0.1065972238779068,0
11,9319680,8000640.0,7856640.0,21110400.0,38148480.0,0.11822916567325592,0.11197916567325591,0.10911458432674408,0.10694444328546523,0.1065972238779068,0.09730902761220932,0
12,8000640,7856640.0,21110400.0,38148480.0,30654720.0,0.11197916567325591,0.10911458432674408,0.10694444328546523,0.1065972238779068,0.09730902761220932,0.10138888955116272,1
13,7856640,21110400.0,38148480.0,30654720.0,9066240.0,0.10911458432674408,0.10694444328546523,0.1065972238779068,0.09730902761220932,0.10138888955116272,0.10659722238779068,1
14,21110400,38148480.0,30654720.0,9066240.0,15540480.0,0.10694444328546523,0.1065972238779068,0.09730902761220932,0.10138888955116272,0.10659722238779068,0.09965277761220932,0
15,38148480,30654720.0,9066240.0,15540480.0,16289280.0,0.1065972238779068,0.09730902761220932,0.10138888955116272,0.10659722238779068,0.09965277761220932,0.09704861044883728,0
16,30654720,9066240.0,15540480.0,16289280.0,7378560.0,0.09730902761220932,0.10138888955116272,0.10659722238779068,0.09965277761220932,0.09704861044883728,0.10460069328546524,1
17,9066240,15540480.0,16289280.0,7378560.0,11180160.0,0.10138888955116272,0.10659722238779068,0.09965277761220932,0.09704861044883728,0.10460069328546524,0.10364583134651184,0
18,15540480,16289280.0,7378560.0,11180160.0,19774080.0,0.10659722238779068,0.09965277761220932,0.09704861044883728,0.10460069328546524,0.10364583134651184,0.1,0
19,16289280,7378560.0,11180160.0,19774080.0,10892160.0,0.09965277761220932,0.09704861044883728,0.10460069328546524,0.10364583134651184,0.1,0.10260416716337203,1
20,7378560,11180160.0,19774080.0,10892160.0,26248320.0,0.09704861044883728,0.10460069328546524,0.10364583134651184,0.1,0.10260416716337203,0.10069444477558136,0
21,11180160,19774080.0,10892160.0,26248320.0,19733760.0,0.10460069328546524,0.10364583134651184,0.1,0.10260416716337203,0.10069444477558136,0.10312499850988388,1
22,19774080,10892160.0,26248320.0,19733760.0,5270400.0,0.10364583134651184,0.1,0.10260416716337203,0.10069444477558136,0.10312499850988388,0.10008680671453477,0
23,10892160,26248320.0,19733760.0,5270400.0,4728960.0,0.1,0.10260416716337203,0.10069444477558136,0.10312499850988388,0.10008680671453477,0.10130208283662796,1
24,26248320,19733760.0,5270400.0,4728960.0,42998400.0,0.10260416716337203,0.10069444477558136,0.10312499850988388,0.10008680671453477,0.10130208283662796,0.11527777910232544,1
25,19733760,5270400.0,4728960.0,42998400.0,65784960.0,0.10069444477558136,0.10312499850988388,0.10008680671453477,0.10130208283662796,0.11527777910232544,0.125,1
26,5270400,4728960.0,42998400.0,65784960.0,73152000.0,0.10312499850988388,0.10008680671453477,0.10130208283662796,0.11527777910232544,0.125,0.13289930522441865,1
27,4728960,42998400.0,65784960.0,73152000.0,98939520.0,0.10008680671453477,0.10130208283662796,0.11527777910232544,0.125,0.13289930522441865,0.1368055522441864,1
28,42998400,65784960.0,73152000.0,98939520.0,51586560.0,0.10130208283662796,0.11527777910232544,0.125,0.13289930522441865,0.1368055522441864,0.15104166865348817,1
29,65784960,73152000.0,98939520.0,51586560.0,40515840.0,0.11527777910232544,0.125,0.13289930522441865,0.1368055522441864,0.15104166865348817,0.14626736044883729,0
30,73152000,98939520.0,51586560.0,40515840.0,33413760.0,0.125,0.13289930522441865,0.1368055522441864,0.15104166865348817,0.14626736044883729,0.16354166567325593,1
31,98939520,51586560.0,40515840.0,33413760.0,101520000.0,0.13289930522441865,0.1368055522441864,0.15104166865348817,0.14626736044883729,0.16354166567325593,0.17126736044883728,1
