,Volume (t-10),Volume (t-9),Volume (t-8),Volume (t-7),Volume (t-6),Volume (t-5),Volume (t-4),Volume (t-3),Volume (t-2),Volume (t-1),Close (t-10),Close (t-9),Close (t-8),Close (t-7),Close (t-6),Close (t-5),Close (t-4),Close (t-3),Close (t-2),Close (t-1),Close (t),movement
25,36059040.0,57081520.0,65238480.0,66045440.0,81440080.0,53533040.0,51982160.0,52709600.0,95295600.0,59348800.0,27.19375,29.1,28.875,28.346875,26.703125,26.1375,27.296875,27.78125,25.1125,25.2921875,26.640625,1
26,57081520.0,65238480.0,66045440.0,81440080.0,53533040.0,51982160.0,52709600.0,95295600.0,59348800.0,45976240.0,29.1,28.875,28.346875,26.703125,26.1375,27.296875,27.78125,25.1125,25.2921875,26.640625,27.69375,1
27,65238480.0,66045440.0,81440080.0,53533040.0,51982160.0,52709600.0,95295600.0,59348800.0,45976240.0,53123520.0,28.875,28.346875,26.703125,26.1375,27.296875,27.78125,25.1125,25.2921875,26.640625,27.69375,27.121875,0
28,66045440.0,81440080.0,53533040.0,51982160.0,52709600.0,95295600.0,59348800.0,45976240.0,53123520.0,52071200.0,28.346875,26.703125,26.1375,27.296875,27.78125,25.1125,25.2921875,26.640625,27.69375,27.121875,24.05,0
29,81440080.0,53533040.0,51982160.0,52709600.0,95295600.0,59348800.0,45976240.0,53123520.0,52071200.0,99915760.0,26.703125,26.1375,27.296875,27.78125,25.1125,25.2921875,26.640625,27.69375,27.121875,24.05,25.34375,1
30,53533040.0,51982160.0,52709600.0,95295600.0,59348800.0,45976240.0,53123520.0,52071200.0,99915760.0,59355040.0,26.1375,27.296875,27.78125,25.1125,25.2921875,26.640625,27.69375,27.121875,24.05,25.34375,26.3,1
31,51982160.0,52709600.0,95295600.0,59348800.0,45976240.0,53123520.0,52071200.0,99915760.0,59355040.0,84343200.0,27.296875,27.78125,25.1125,25.2921875,26.640625,27.69375,27.121875,24.05,25.34375,26.3,26.534375,1
32,52709600.0,95295600.0,59348800.0,45976240.0,53123520.0,52071200.0,99915760.0,59355040.0,84343200.0,58729440.0,27.78125,25.1125,25.2921875,26.640625,27.69375,27.121875,24.05,25.34375,26.3,26.534375,26.609375,1
33,95295600.0,59348800.0,45976240.0,53123520.0,52071200.0,99915760.0,59355040.0,84343200.0,58729440.0,60716640.0,25.1125,25.2921875,26.640625,27.69375,27.121875,24.05,25.34375,26.3,26.534375,26.609375,27.628125,1
34,59348800.0,45976240.0,53123520.0,52071200.0,99915760.0,59355040.0,84343200.0,58729440.0,60716640.0,54365440.0,25.2921875,26.640625,27.69375,27.121875,24.05,25.34375,26.3,26.534375,26.609375,27.628125,27.790625,1
35,45976240.0,53123520.0,52071200.0,99915760.0,59355040.0,84343200.0,58729440.0,60716640.0,54365440.0,47336320.0,26.640625,27.69375,27.121875,24.05,25.34375,26.3,26.534375,26.609375,27.628125,27.790625,30.759375,1
36,53123520.0,52071200.0,99915760.0,59355040.0,84343200.0,58729440.0,60716640.0,54365440.0,47336320.0,70122960.0,27.69375,27.121875,24.05,25.34375,26.3,26.534375,26.609375,27.628125,27.790625,30.759375,31.965625,1
37,52071200.0,99915760.0,59355040.0,84343200.0,58729440.0,60716640.0,54365440.0,47336320.0,70122960.0,67535680.0,27.121875,24.05,25.34375,26.3,26.534375,26.609375,27.628125,27.790625,30.759375,31.965625,32.915625,1
