,t-5,t-4,t-3,t-2,t-1,t
0,0.42593800000000004,0.441558,0.418516,0.398768,0.389568,0.386492
1,0.441558,0.418516,0.398768,0.389568,0.386492,0.4103
2,0.418516,0.398768,0.389568,0.386492,0.4103,0.39674
3,0.398768,0.389568,0.386492,0.4103,0.39674,0.40313999999999994
4,0.389568,0.386492,0.4103,0.39674,0.40313999999999994,0.37778199999999995
5,0.386492,0.4103,0.39674,0.40313999999999994,0.37778199999999995,0.366002
6,0.4103,0.39674,0.40313999999999994,0.37778199999999995,0.366002,0.398014
7,0.39674,0.40313999999999994,0.37778199999999995,0.366002,0.398014,0.414914
8,0.40313999999999994,0.37778199999999995,0.366002,0.398014,0.414914,0.417498
9,0.37778199999999995,0.366002,0.398014,0.414914,0.417498,0.43925400000000003
10,0.366002,0.398014,0.414914,0.417498,0.43925400000000003,0.44924
11,0.398014,0.414914,0.417498,0.43925400000000003,0.44924,0.450022
12,0.414914,0.417498,0.43925400000000003,0.44924,0.450022,0.47588800000000003
13,0.417498,0.43925400000000003,0.44924,0.450022,0.47588800000000003,0.46719799999999995
14,0.43925400000000003,0.44924,0.450022,0.47588800000000003,0.46719799999999995,0.473826
15,0.44924,0.450022,0.47588800000000003,0.46719799999999995,0.473826,0.46715599999999996
16,0.450022,0.47588800000000003,0.46719799999999995,0.473826,0.46715599999999996,0.479214
17,0.47588800000000003,0.46719799999999995,0.473826,0.46715599999999996,0.479214,0.440534
18,0.46719799999999995,0.473826,0.46715599999999996,0.479214,0.440534,0.42644200000000004
19,0.473826,0.46715599999999996,0.479214,0.440534,0.42644200000000004,0.400326
20,0.46715599999999996,0.479214,0.440534,0.42644200000000004,0.400326,0.353184
21,0.479214,0.440534,0.42644200000000004,0.400326,0.353184,0.35574399999999995
22,0.440534,0.42644200000000004,0.400326,0.353184,0.35574399999999995,0.35396
23,0.42644200000000004,0.400326,0.353184,0.35574399999999995,0.35396,0.343712
24,0.400326,0.353184,0.35574399999999995,0.35396,0.343712,0.327076
25,0.353184,0.35574399999999995,0.35396,0.343712,0.327076,0.34909
26,0.35574399999999995,0.35396,0.343712,0.327076,0.34909,0.35191
27,0.35396,0.343712,0.327076,0.34909,0.35191,0.33322199999999996
28,0.343712,0.327076,0.34909,0.35191,0.33322199999999996,0.318642
29,0.327076,0.34909,0.35191,0.33322199999999996,0.318642,0.324014
30,0.34909,0.35191,0.33322199999999996,0.318642,0.324014,0.332706
31,0.35191,0.33322199999999996,0.318642,0.324014,0.332706,0.27788599999999997
32,0.33322199999999996,0.318642,0.324014,0.332706,0.27788599999999997,0.26661999999999997
33,0.318642,0.324014,0.332706,0.27788599999999997,0.26661999999999997,0.24793200000000004
34,0.324014,0.332706,0.27788599999999997,0.26661999999999997,0.24793200000000004,0.247936
35,0.332706,0.27788599999999997,0.26661999999999997,0.24793200000000004,0.247936,0.285076
36,0.27788599999999997,0.26661999999999997,0.24793200000000004,0.247936,0.285076,0.280976
37,0.26661999999999997,0.24793200000000004,0.247936,0.285076,0.280976,0.28505800000000003
38,0.24793200000000004,0.247936,0.285076,0.280976,0.28505800000000003,0.276356
39,0.247936,0.285076,0.280976,0.28505800000000003,0.276356,0.26175800000000005
40,0.285076,0.280976,0.28505800000000003,0.276356,0.26175800000000005,0.252792
41,0.280976,0.28505800000000003,0.276356,0.26175800000000005,0.252792,0.241014
42,0.28505800000000003,0.276356,0.26175800000000005,0.252792,0.241014,0.23588599999999998
43,0.276356,0.26175800000000005,0.252792,0.241014,0.23588599999999998,0.24024399999999999
44,0.26175800000000005,0.252792,0.241014,0.23588599999999998,0.24024399999999999,0.239738
45,0.252792,0.241014,0.23588599999999998,0.24024399999999999,0.239738,0.24050000000000002
46,0.241014,0.23588599999999998,0.24024399999999999,0.239738,0.24050000000000002,0.24870200000000003
47,0.23588599999999998,0.24024399999999999,0.239738,0.24050000000000002,0.24870200000000003,0.26611599999999996
48,0.24024399999999999,0.239738,0.24050000000000002,0.24870200000000003,0.26611599999999996,0.25304200000000004
49,0.239738,0.24050000000000002,0.24870200000000003,0.26611599999999996,0.25304200000000004,0.24358
50,0.24050000000000002,0.24870200000000003,0.26611599999999996,0.25304200000000004,0.24358,0.257142
51,0.24870200000000003,0.26611599999999996,0.25304200000000004,0.24358,0.257142,0.28506400000000004
52,0.26611599999999996,0.25304200000000004,0.24358,0.257142,0.28506400000000004,0.288652
53,0.25304200000000004,0.24358,0.257142,0.28506400000000004,0.288652,0.29865
54,0.24358,0.257142,0.28506400000000004,0.288652,0.29865,0.31709000000000004
55,0.257142,0.28506400000000004,0.288652,0.29865,0.31709000000000004,0.314522
56,0.28506400000000004,0.288652,0.29865,0.31709000000000004,0.314522,0.30503600000000003
57,0.288652,0.29865,0.31709000000000004,0.314522,0.30503600000000003,0.32271799999999995
58,0.29865,0.31709000000000004,0.314522,0.30503600000000003,0.32271799999999995,0.314532
59,0.31709000000000004,0.314522,0.30503600000000003,0.32271799999999995,0.314532,0.331434
60,0.314522,0.30503600000000003,0.32271799999999995,0.314532,0.331434,0.35216200000000003
61,0.30503600000000003,0.32271799999999995,0.314532,0.331434,0.35216200000000003,0.35498999999999997
62,0.32271799999999995,0.314532,0.331434,0.35216200000000003,0.35498999999999997,0.36215200000000003
63,0.314532,0.331434,0.35216200000000003,0.35498999999999997,0.36215200000000003,0.379062
64,0.331434,0.35216200000000003,0.35498999999999997,0.36215200000000003,0.379062,0.373426
65,0.35216200000000003,0.35498999999999997,0.36215200000000003,0.379062,0.373426,0.36421000000000003
