,t-1,t
266,0.25355,0.25355
267,0.25355,0.25228
268,0.25228,0.25228
269,0.25228,0.24975
270,0.24975,0.24715
271,0.24715,0.23949
272,0.23949,0.23949
273,0.23949,0.24202
274,0.24202,0.23949
275,0.23949,0.25355
276,0.25355,0.2561
277,0.2561,0.26509
278,0.26509,0.27148
279,0.27148,0.28814
280,0.28814,0.2907
281,0.2907,0.28299
282,0.28299,0.27535
283,0.27535,0.28814
284,0.28814,0.28814
285,0.28814,0.29328
286,0.29328,0.28814
287,0.28814,0.28814
288,0.28814,0.28556
289,0.28556,0.30351
290,0.30351,0.29712
291,0.29712,0.29712
292,0.29712,0.29838
293,0.29838,0.29712
294,0.29712,0.30733
295,0.30733,0.31249
296,0.31249,0.32785
297,0.32785,0.32018
298,0.32018,0.3176
299,0.3176,0.3099
300,0.3099,0.32018
301,0.32018,0.3176
302,0.3176,0.3176
303,0.3176,0.30733
304,0.30733,0.30351
305,0.30351,0.30351
306,0.30351,0.30351
307,0.30351,0.30475
308,0.30475,0.3099
309,0.3099,0.32018
310,0.32018,0.32142
311,0.32142,0.32272
312,0.32272,0.32142
313,0.32142,0.32785
314,0.32785,0.32142
315,0.32142,0.31507
316,0.31507,0.3099
317,0.3099,0.3112
318,0.3112,0.31507
319,0.31507,0.32018
320,0.32018,0.32018
321,0.32018,0.33297
322,0.33297,0.32911
323,0.32911,0.35473
324,0.35473,0.35985
325,0.35985,0.3573
326,0.3573,0.34962
327,0.34962,0.34702
328,0.34702,0.34702
329,0.34702,0.3573
330,0.3573,0.35473
331,0.35473,0.35089
332,0.35089,0.35473
333,0.35473,0.3573
334,0.3573,0.35473
335,0.35473,0.36754
336,0.36754,0.36496
337,0.36496,0.36112
338,0.36112,0.36241
339,0.36241,0.36754
340,0.36754,0.37138
341,0.37138,0.38164
342,0.38164,0.39186
343,0.39186,0.38289
344,0.38289,0.38164
345,0.38164,0.38289
346,0.38289,0.37394
347,0.37394,0.36754
348,0.36754,0.36112
349,0.36112,0.35344
350,0.35344,0.35473
