t-1,t-2,t-3,t-4,t-5,t,movement
5457789729.45,9011928855.6,6199104139.03,6561572579.599999,122.54,121.79,1
7089237816.58,5457789729.45,9011928855.6,6199104139.03,122.3,120.54,0
5309467569.0,7089237816.58,5457789729.45,9011928855.6,119.57,120.12,0
6061827451.68,5309467569.0,7089237816.58,5457789729.45,118.8,120.26,1
4371998904.56,6061827451.68,5309467569.0,7089237816.58,119.55,123.07,1
5829412754.009999,4371998904.56,6061827451.68,5309467569.0,121.79,122.89,0
4918253195.1,5829412754.009999,4371998904.56,6061827451.68,120.54,124.23,1
6616041702.39,4918253195.1,5829412754.009999,4371998904.56,120.12,124.11,0
5804525039.67,6616041702.39,4918253195.1,5829412754.009999,120.26,124.1,0
4740559066.9,5804525039.67,6616041702.39,4918253195.1,123.07,125.41,1
5221021965.84,4740559066.9,5804525039.67,6616041702.39,122.89,126.49,1
6043429986.23,5221021965.84,4740559066.9,5804525039.67,124.23,123.72,0
9160733701.32,6043429986.23,5221021965.84,4740559066.9,124.11,126.01,1
6051829723.83,9160733701.32,6043429986.23,5221021965.84,124.1,125.75,0
4048048304.25,6051829723.83,9160733701.32,6043429986.23,125.41,124.31,0
6628148536.72,4048048304.25,6051829723.83,9160733701.32,126.49,124.57,1
4191727931.46,6628148536.72,4048048304.25,6051829723.83,123.72,124.0,0
4370667556.0,4191727931.46,6628148536.72,4048048304.25,126.01,124.16,1
4031008358.4,4370667556.0,4191727931.46,6628148536.72,125.75,123.47,0
4974625808.26,4031008358.4,4370667556.0,4191727931.46,124.31,122.77,0
4583218579.19,4974625808.26,4031008358.4,4370667556.0,124.57,121.97,0
6732193793.33,4583218579.19,4974625808.26,4031008358.4,124.0,121.61,0
7142422598.78,6732193793.33,4583218579.19,4974625808.26,124.16,123.0,1
5036646435.0,7142422598.78,6732193793.33,4583218579.19,123.47,122.71,0
4550645130.5,5036646435.0,7142422598.78,6732193793.33,122.77,121.37,0
4682448895.610001,4550645130.5,5036646435.0,7142422598.78,121.97,121.12,0
5582908065.76,4682448895.610001,4550645130.5,5036646435.0,121.61,121.78,1
4018895147.72,5582908065.76,4682448895.610001,4550645130.5,123.0,121.49,0
4190592960.84,4018895147.72,5582908065.76,4682448895.610001,122.71,122.03,1
4527513007.17,4190592960.84,4018895147.72,5582908065.76,121.37,120.81,0
6926679284.34,4527513007.17,4190592960.84,4018895147.72,121.12,121.78,1
4343682894.84,6926679284.34,4527513007.17,4190592960.84,121.78,121.23,0
3845100765.69,4343682894.84,6926679284.34,4527513007.17,121.49,122.25,1
7081490541.75,3845100765.69,4343682894.84,6926679284.34,122.03,121.69,0
4072541183.87,7081490541.75,3845100765.69,4343682894.84,120.81,120.96,0
5585406865.92,4072541183.87,7081490541.75,3845100765.69,121.78,118.84,0
6121930533.88,5585406865.92,4072541183.87,7081490541.75,121.23,119.7,1
5565341016.900001,6121930533.88,5585406865.92,4072541183.87,122.25,120.81,1
3827973699.81,5565341016.900001,6121930533.88,5585406865.92,121.69,120.66,0
3440390525.34,3827973699.81,5565341016.900001,6121930533.88,120.96,120.25,0
