,t-1,t-2,t-3,t-4,t-5,t,movement
149,110.47,108.8,114.78,110.74,110.37,110.38,0
124,116.97,119.95,120.25,120.66,120.81,114.59,0
677,159.31,157.71,159.08,160.28,160.92,158.1,0
621,142.66,144.73,145.19,144.54,144.78,144.74,1
185,105.82,105.04,105.74,104.55,107.8,106.2,1
450,114.62,114.68,115.03,115.11,115.18,114.17,0
507,117.37,117.86,117.23,117.11,116.04,117.16,0
706,156.85,155.85,156.54,155.61,155.69,162.47,1
417,105.48,104.5,103.89,103.78,104.59,105.45,0
321,103.49,104.04,106.34,108.5,108.44,103.71,1
660,159.21,156.65,156.94,157.29,160.37,159.41,1
142,113.02,115.76,116.78,117.39,117.75,109.41,0
141,115.76,116.78,117.39,117.75,117.17,113.02,0
534,135.53,135.12,134.15,133.78,133.94,134.92,0
320,104.04,106.34,108.5,108.44,106.91,103.49,0
19,113.99,113.17,112.32,112.3,110.91,113.02,0
172,111.47,110.54,109.49,107.92,105.6,111.59,1
581,144.89,141.99,142.13,142.02,142.87,145.81,1
312,107.41,106.3,107.56,106.46,105.5,105.06,0
666,162.76,162.33,160.89,159.29,158.7,163.41,1
12,103.31,107.06,106.96,106.39,103.72,109.16,1
305,101.82,102.28,102.73,103.3,102.52,104.24,1
25,120.77,120.19,118.67,115.96,113.77,121.49,1
533,135.12,134.15,133.78,133.94,133.45,135.53,1
169,107.92,105.6,107.67,104.74,105.81,109.49,1
675,159.08,160.28,160.92,158.06,160.68,157.71,0
425,113.15,109.44,105.7,103.24,100.98,112.53,0
245,104.68,102.83,104.01,104.56,103.23,103.32,0
298,102.57,101.24,99.233,98.984,97.935,102.41,0
456,111.35,112.1,113.17,115.78,115.2,111.17,0
272,91.968,91.009,93.506,92.761,90.961,91.948,0
154,110.25,111.68,112.32,111.16,110.38,107.98,0
126,117.65,114.59,116.97,119.95,120.25,119.92,1
495,114.68,114.45,115.21,115.11,114.8,115.41,1
341,91.047,91.427,88.154,87.979,90.093,92.09,1
287,97.309,93.594,93.808,93.66,93.022,97.522,1
113,121.78,120.81,122.03,121.49,121.78,121.23,0
388,94.796,96.082,96.831,97.347,97.261,94.144,0
173,111.59,111.47,110.54,109.49,107.92,109.22,0
597,152.65,152.84,151.91,151.4,149.12,152.19,0
588,151.49,152.21,151.24,147.24,144.84,152.8,1
57,118.08,118.24,120.1,117.14,118.07,119.1,1
707,162.47,156.85,155.85,156.54,155.61,166.12,1
222,114.45,113.35,114.86,114.36,112.91,113.63,0
280,92.965,93.177,94.979,93.545,90.98,93.778,1
17,112.32,112.3,110.91,112.57,109.16,113.17,1
657,157.29,160.37,161.02,159.28,156.92,156.94,0
322,103.71,103.49,104.04,106.34,108.5,102.57,0
255,93.762,96.238,94.86,93.349,92.857,95.814,1
439,110.68,110.63,110.18,110.68,109.85,111.52,1
686,152.73,153.68,152.59,150.01,151.35,153.57,1
190,107.49,104.96,106.2,106.71,106.2,106.99,0
462,108.66,107.11,108.09,109.27,109.17,109.31,1
632,146.66,144.65,144.44,143.97,143.11,147.93,1
595,151.91,151.4,149.12,154.31,154.53,152.84,1
94,123.72,126.49,125.41,124.1,124.11,126.01,1
180,109.96,110.24,109.59,108.71,110.44,107.8,0
301,102.52,102.53,102.41,102.57,101.24,103.3,1
449,114.68,115.03,115.11,115.18,114.54,114.62,0
526,130.89,129.95,129.44,128.23,127.03,130.6,0
493,115.21,115.11,114.8,114.14,113.99,114.45,0
684,152.59,150.01,151.35,152.84,155.51,153.68,1
631,144.65,144.44,143.97,143.11,141.66,146.66,1
451,114.17,114.62,114.68,115.03,115.11,115.2,1
5,101.12,103.95,104.35,103.42,106.04,100.32,0
702,155.69,155.42,159.19,159.9,159.31,155.61,0
