,t-1,t,movement
26,7556506845.16,118.67,1
652,3209280757.02,157.62,1
263,6740201022.464,92.712,0
50,6481773247.02,122.09,1
364,3006907316.19,94.602,0
229,4635286131.7,112.95,0
37,11899800364.41,122.08,0
157,4026225265.92,110.25,0
237,3393547475.52,108.97,0
691,4048026111.45,153.26,0
374,3606170427.435,91.934,1
370,2501506823.982,93.589,1
175,6729769269.54,111.47,1
611,3265978738.54,153.83,0
127,5900757206.3,116.97,0
531,2552856745.2,131.75,1
194,5912821636.41,106.99,0
613,9652490175.42,144.33,0
621,3102057438.24,144.54,0
604,3362806256.04,152.52,1
482,3642432546.98,107.76,0
485,3523941968.82,108.21,1
695,3304351358.49,154.74,0
671,4386313642.62,163.46,1
619,4751270716.5,143.92,0
67,5107426637.94,120.54,0
478,2749199147.34,110.02,1
168,6952930525.5,105.81,0
444,3195571809.44,111.69,1
590,7449096466.440001,152.21,1
162,10747813144.364,105.15,1
309,1933509260.88,104.24,1
193,6785971217.919999,107.49,1
513,3830915281.4,118.09,0
365,2526753198.6,95.0,1
383,2114563760.998,94.339,0
649,5121949416.719999,155.97,1
629,2048918788.92,143.02,1
152,11011919238.4,110.47,1
487,3254564283.52,110.35,1
501,2254658919.76,114.89,0
226,5087459983.2,113.63,0
494,4488724427.2,114.8,1
575,2216252859.0,139.57,0
103,4370667556.0,124.16,1
421,2775509479.8,105.45,0
419,2832627755.16,104.5,1
682,4468008606.9,158.16,1
545,2792955530.19,137.73,0
74,4111847352.0,122.22,1
115,4527513007.17,120.81,0
407,2680138992.51,107.1,0
694,3087393201.61,154.83,1
119,7081490541.75,121.69,0
53,8650134732.45,120.89,1
151,6579393908.4,108.8,0
403,2773087363.6200004,105.75,0
678,11518495433.24,159.08,0
207,10203869794.14,115.54,1
495,3068156394.8,115.11,1
516,3409734070.4,118.19,1
506,2530072399.63,116.04,1
576,1985870907.58,139.05,0
8,5369331740.85,101.12,0
583,2042947767.61,141.99,0
36,9614263361.2,123.93,1
452,2589124802.71,114.68,0
139,6383409672.3,118.81,0
253,5415317275.265,96.949,0
303,3641639485.33,102.53,1
541,2620540720.95,135.41,1
544,3553109938.32,138.17,1
368,3181666714.656,93.404,1
59,5952124653.9,118.24,0
499,1605337888.16,115.41,1
111,4682448895.610001,121.12,0
518,2710381978.47,119.95,1
526,3163225223.09,128.23,1
641,2585817954.1800003,149.14,0
262,5131417594.509,93.184,1
606,3735685257.78,152.03,1
297,2448828296.885,97.935,1
477,2504620702.13,109.47,0
414,2433102901.2,105.32,0
150,4467075523.4,114.78,1
433,3771668096.4,112.23,1
571,2388847574.22,140.0,0
639,2678848620.75,149.89,1
488,2902173108.85,112.15,1
147,14231981574.09,110.13,1
146,8283405103.96,109.41,0
527,3402600489.28,129.44,1
667,4071327357.35,160.89,1
586,6554497195.96,145.37,0
348,2867487650.92,93.909,1
463,3161739469.7,108.09,0
325,3291983369.24,103.71,1
186,8001194562.9,105.74,1
123,5565341016.900001,120.81,1
612,3277502441.49,147.87,0
143,4552721578.86,116.78,0
