,t-1,t-2,t-3,t-4,t-5,t,movement
103,134.7,132.12600000000003,128.23,121.172,118.44,136.276,1
99,118.44,117.716,115.868,114.704,114.85,121.172,1
116,152.572,152.254,152.53400000000002,145.63,142.198,152.646,1
87,114.084,114.92400000000002,113.728,110.738,110.606,109.81,0
74,96.4226,96.8456,94.249,92.802,91.67839999999998,102.23,1
121,143.07800000000003,144.632,143.848,150.70800000000003,152.646,143.24,1
139,172.562,164.03199999999998,155.822,158.054,155.23600000000002,174.95999999999998,1
20,120.4,121.62,121.694,122.564,124.558,118.484,0
71,92.802,91.67839999999998,93.6922,95.8736,95.782,94.249,1
106,138.084,137.658,136.276,134.7,132.12600000000003,139.1,1
14,122.912,120.16,121.118,123.88,120.162,125.146,1
92,108.84,109.558,106.526,108.058,109.81,109.474,1
102,132.12600000000003,128.23,121.172,118.44,117.716,134.7,1
