,t-1,t-2,t-3,t-4,t-5,t,movement
369,89.635,90.96,93.589,93.063,93.404,91.145,1
557,139.25,139.01,139.29,139.79,138.23,142.14,1
60,119.76,121.02,119.1,118.08,118.24,119.37,0
164,107.7,103.26,108.09,108.6,108.25,105.81,0
30,126.4,123.07,122.07,122.31,121.49,125.61,0
69,121.27,118.55,119.91,120.48,120.03,120.6,0
530,133.94,133.45,131.75,130.6,130.89,133.78,0
244,102.83,104.01,104.56,103.23,103.33,104.68,1
44,117.47,116.79,116.16,118.32,120.82,118.74,1
284,93.66,93.022,91.659,93.778,92.965,93.808,1
70,120.6,121.27,118.55,119.91,120.48,122.22,1
398,106.11,105.23,103.67,103.02,101.75,106.54,1
381,96.199,94.339,94.874,94.445,94.154,96.199,0
670,161.33,161.5,163.46,163.41,162.76,160.68,0
328,91.792,94.678,101.01,101.71,102.29,90.739,0
340,91.427,88.154,87.979,90.093,90.979,91.047,0
155,107.98,110.25,111.68,112.32,111.16,101.4,0
215,108.15,111.41,111.79,112.43,116.07,109.92,1
585,147.24,144.84,145.37,145.81,144.89,151.24,1
165,105.81,107.7,103.26,108.09,108.6,104.74,0
694,155.34,155.28,154.74,154.83,152.93,155.99,1
6,100.32,101.12,103.95,104.35,103.42,102.9,1
257,93.512,95.814,93.762,96.238,94.86,93.059,0
548,137.39,137.6,137.54,137.08,137.4,138.83,1
220,114.86,114.36,112.91,109.46,109.92,113.35,0
429,111.18,111.2,111.21,112.53,113.15,112.23,1
132,126.03,123.72,122.63,121.02,119.87,124.78,0
292,97.797,98.607,99.73,98.26,97.522,97.885,1
41,118.32,120.82,120.32,120.14,122.16,116.16,0
108,121.12,121.37,122.71,123.0,121.61,121.78,1
264,89.941,96.266,95.736,97.641,92.712,90.585,1
56,118.24,120.1,117.14,118.07,117.27,118.08,0
204,115.54,114.34,109.81,110.51,114.16,114.56,0
319,106.34,108.5,108.44,106.91,105.53,104.04,0
529,133.45,131.75,130.6,130.89,129.95,133.94,1
24,120.19,118.67,115.96,113.77,113.02,120.77,1
231,113.83,113.88,114.6,110.91,111.95,111.31,0
174,109.22,111.59,111.47,110.54,109.49,108.76,0
296,99.233,98.984,97.935,97.885,97.797,101.24,1
630,144.44,143.97,143.11,141.66,143.02,144.65,1
545,137.08,137.4,137.91,137.73,138.17,137.54,1
110,121.49,121.78,121.12,121.37,122.71,122.03,1
82,119.55,118.8,119.57,122.3,122.54,121.79,1
51,120.4,120.89,119.67,121.17,122.09,117.27,0
290,99.73,98.26,97.522,97.309,93.594,98.607,0
590,154.93,152.8,151.49,152.21,151.24,154.53,0
499,113.99,114.89,114.92,115.41,114.68,114.31,1
411,105.32,105.78,106.58,106.25,107.08,104.7,0
250,96.949,98.885,101.44,101.35,103.32,92.857,0
575,140.63,140.79,139.05,139.57,140.2,141.98,1
256,95.814,93.762,96.238,94.86,93.349,93.512,0
18,113.17,112.32,112.3,110.91,112.57,113.99,1
336,90.979,90.366,90.296,90.804,91.174,90.093,0
669,161.5,163.46,163.41,162.76,162.33,161.33,0
478,108.77,109.7,109.81,110.02,109.47,107.76,0
235,108.29,108.97,111.84,111.31,113.83,106.37,0
61,119.37,119.76,121.02,119.1,118.08,120.28,1
390,100.26,94.144,94.796,96.082,96.831,101.61,1
399,106.54,106.11,105.23,103.67,103.02,105.75,0
29,123.07,122.07,122.31,121.49,120.77,126.4,1
199,110.72,109.07,109.08,107.1,106.44,114.16,1
586,151.24,147.24,144.84,145.37,145.81,152.21,1
260,92.712,93.184,93.059,93.512,95.814,97.641,1
349,97.729,97.787,96.998,95.342,93.909,97.251,0
591,154.53,154.93,152.8,151.49,152.21,154.31,0
213,111.79,112.43,116.07,116.56,116.42,111.41,0
649,157.62,155.22,154.4,155.97,148.92,158.88,1
362,95.0,94.602,94.914,94.796,96.258,92.839,0
625,142.43,142.95,142.61,144.74,142.66,143.02,1
248,101.44,101.35,103.32,104.68,102.83,98.885,0
346,95.342,93.909,92.732,91.737,92.09,96.998,1
432,110.52,110.36,112.23,111.18,111.2,110.72,1
176,110.44,108.76,109.22,111.59,111.47,108.71,0
234,108.97,111.84,111.31,113.83,113.88,108.29,0
539,138.18,135.41,135.35,135.08,134.92,137.36,0
431,110.36,112.23,111.18,111.2,111.21,110.52,1
554,139.79,138.23,139.83,138.36,139.06,139.29,0
671,160.68,161.33,161.5,163.46,163.41,158.06,0
163,103.26,108.09,108.6,108.25,105.15,107.7,1
302,103.3,102.52,102.53,102.41,102.57,102.73,0
628,143.11,141.66,143.02,142.43,142.95,143.97,1
667,163.41,162.76,162.33,160.89,159.29,163.46,1
446,115.18,114.54,114.9,113.88,113.63,115.11,0
527,130.6,130.89,129.95,129.44,128.23,131.75,1
314,105.18,105.06,107.41,106.3,107.56,105.53,1
430,112.23,111.18,111.2,111.21,112.53,110.36,0
104,121.61,121.97,122.77,123.47,124.16,123.0,1
114,121.23,121.78,120.81,122.03,121.49,122.25,1
643,148.39,149.43,152.31,151.6,150.96,147.62,0
549,138.83,137.39,137.6,137.54,137.08,139.06,1
642,149.43,152.31,151.6,150.96,149.14,148.39,0
275,90.7,91.252,91.948,91.968,91.009,90.98,1
92,125.41,124.1,124.11,124.23,122.89,126.49,1
7,102.9,100.32,101.12,103.95,104.35,103.72,1
89,124.23,122.89,123.07,120.26,120.12,124.11,0
543,137.91,137.73,138.17,137.36,138.18,137.4,0
516,120.01,119.95,118.07,118.19,118.1,120.02,1
536,135.08,134.92,135.53,135.12,134.15,135.35,1
395,103.02,101.75,103.28,101.49,101.61,103.67,1
482,108.21,107.38,108.16,107.76,108.77,109.28,1
223,113.63,114.45,113.35,114.86,114.36,113.41,0
140,116.78,117.39,117.75,117.17,118.81,115.76,0
28,122.07,122.31,121.49,120.77,120.19,123.07,1
