,t-5,t-4,t-3,t-2,t-1,t,movement
0,15317249.626002248,17373917.419391245,17896818.831059746,20727167.72217025,36431213.57978792,0.4533365000000001,0
1,17373917.419391245,17896818.831059746,20727167.72217025,36431213.57978792,32763791.00578458,0.3658034999999999,0
2,17896818.831059746,20727167.72217025,36431213.57978792,32763791.00578458,24064982.41534282,0.3429469999999999,0
3,20727167.72217025,36431213.57978792,32763791.00578458,24064982.41534282,13428993.604671147,0.327146,0
4,36431213.57978792,32763791.00578458,24064982.41534282,13428993.604671147,13158096.6061616,0.2600934999999999,0
5,32763791.00578458,24064982.41534282,13428993.604671147,13158096.6061616,24961867.917743165,0.2818665,1
6,24064982.41534282,13428993.604671147,13158096.6061616,24961867.917743165,9943671.448075501,0.2478625,0
7,13428993.604671147,13158096.6061616,24961867.917743165,9943671.448075501,8017342.541720626,0.242296,0
8,13158096.6061616,24961867.917743165,9943671.448075501,8017342.541720626,5014012.001964,0.25497000000000003,1
9,24961867.917743165,9943671.448075501,8017342.541720626,5014012.001964,7711504.8636375,0.29736399999999996,1
10,9943671.448075501,8017342.541720626,5014012.001964,7711504.8636375,16530930.387419399,0.314202,1
11,8017342.541720626,5014012.001964,7711504.8636375,16530930.387419399,11190197.071407901,0.3501845,1
12,5014012.001964,7711504.8636375,16530930.387419399,11190197.071407901,22486733.37056465,0.37451650000000003,1
13,7711504.8636375,16530930.387419399,11190197.071407901,22486733.37056465,26840326.87669298,0.39654749999999994,1
14,16530930.387419399,11190197.071407901,22486733.37056465,26840326.87669298,16576594.148941496,0.42952349999999984,1
15,11190197.071407901,22486733.37056465,26840326.87669298,16576594.148941496,28837288.523805287,0.475118,1
16,22486733.37056465,26840326.87669298,16576594.148941496,28837288.523805287,26392372.1150138,0.5767899999999999,1
17,26840326.87669298,16576594.148941496,28837288.523805287,26392372.1150138,40700438.426406994,0.5727,0
18,16576594.148941496,28837288.523805287,26392372.1150138,40700438.426406994,27711727.794255,0.5411765000000001,0
19,28837288.523805287,26392372.1150138,40700438.426406994,27711727.794255,41195582.054184325,0.5522175,1
20,26392372.1150138,40700438.426406994,27711727.794255,41195582.054184325,27014537.447787378,0.5523499999999999,1
21,40700438.426406994,27711727.794255,41195582.054184325,27014537.447787378,25599233.343627494,0.5328199999999998,0
22,27711727.794255,41195582.054184325,27014537.447787378,25599233.343627494,19169923.545673996,0.5631899999999999,1
23,41195582.054184325,27014537.447787378,25599233.343627494,19169923.545673996,31787446.894825492,0.664935,1
24,27014537.447787378,25599233.343627494,19169923.545673996,31787446.894825492,54579325.96141575,0.718375,1
25,25599233.343627494,19169923.545673996,31787446.894825492,54579325.96141575,60632746.68959375,0.893535,1
26,19169923.545673996,31787446.894825492,54579325.96141575,60632746.68959375,92227987.03893526,1.059015,1
27,31787446.894825492,54579325.96141575,60632746.68959375,92227987.03893526,92615404.60664551,1.088835,1
