t-1,t-2,t-3,t-4,t-5,t,movement
129.05700000000002,116.68199999999996,111.60899999999997,108.488,113.3685,137.77949999999998,1
137.77949999999998,129.05700000000002,116.68199999999996,111.60899999999997,108.488,140.98250000000002,1
140.98250000000002,137.77949999999998,129.05700000000002,116.68199999999996,111.60899999999997,148.154,1
148.154,140.98250000000002,137.77949999999998,129.05700000000002,116.68199999999996,149.94349999999997,1
149.94349999999997,148.154,140.98250000000002,137.77949999999998,129.05700000000002,144.569,0
144.569,149.94349999999997,148.154,140.98250000000002,137.77949999999998,153.57000000000002,1
153.57000000000002,144.569,149.94349999999997,148.154,140.98250000000002,160.128,1
160.128,153.57000000000002,144.569,149.94349999999997,148.154,154.59250000000003,0
154.59250000000003,160.128,153.57000000000002,144.569,149.94349999999997,162.61749999999998,1
162.61749999999998,154.59250000000003,160.128,153.57000000000002,144.569,174.95999999999998,1
