t-1,t,movement
105.53,106.91,1
106.91,108.44,1
108.44,108.5,1
108.5,106.34,0
106.34,104.04,0
104.04,103.49,0
103.49,103.71,1
103.71,102.57,0
102.57,102.29,0
102.29,101.71,0
101.71,101.01,0
101.01,94.678,0
94.678,91.792,0
91.792,90.739,0
90.739,90.641,0
90.641,92.132,1
92.132,91.174,0
91.174,90.804,0
90.804,90.296,0
90.296,90.366,1
90.366,90.979,1
90.979,90.093,0
90.093,87.979,0
87.979,88.154,1
88.154,91.427,1
91.427,91.047,0
91.047,92.09,1
92.09,91.737,0
91.737,92.732,1
92.732,93.909,1
93.909,95.342,1
95.342,96.998,1
96.998,97.787,1
97.787,97.729,0
97.729,97.251,0
97.251,95.886,0
95.886,95.167,0
95.167,95.361,1
95.361,96.054,1
96.054,96.442,1
96.442,96.354,0
96.354,97.046,1
97.046,96.258,0
96.258,94.796,0
94.796,94.914,1
94.914,94.602,0
94.602,95.0,1
95.0,92.839,0
92.839,92.616,0
92.616,93.404,1
93.404,93.063,0
93.063,93.589,1
93.589,90.96,0
90.96,89.635,0
89.635,91.145,1
91.145,91.934,1
91.934,93.102,1
93.102,93.384,1
93.384,92.556,0
92.556,93.034,1
93.034,93.433,1
93.433,94.154,1
94.154,94.445,1
94.445,94.874,1
94.874,94.339,0
94.339,96.199,1
96.199,96.199,0
96.199,97.222,1
97.222,97.261,1
97.261,97.347,1
97.347,96.831,0
96.831,96.082,0
96.082,94.796,0
94.796,94.144,0
94.144,100.26,1
100.26,101.61,1
101.61,101.49,0
101.49,103.28,1
103.28,101.75,0
101.75,103.02,1
103.02,103.67,1
103.67,105.23,1
105.23,106.11,1
106.11,106.54,1
106.54,105.75,0
105.75,105.68,0
105.68,105.93,1
105.93,107.19,1
107.19,107.1,0
107.1,106.93,0
106.93,106.81,0
106.81,107.08,1
107.08,106.25,0
106.25,106.58,1
106.58,105.78,0
105.78,105.32,0
105.32,104.7,0
104.7,104.59,0
104.59,103.78,0
103.78,103.89,1
103.89,104.5,1
104.5,105.48,1
105.48,105.45,0
105.45,106.1,1
106.1,103.32,0
103.32,100.98,0
100.98,103.24,1
103.24,105.7,1
105.7,109.44,1
109.44,113.15,1
113.15,112.53,0
112.53,111.21,0
111.21,111.2,0
111.2,111.18,0
111.18,112.23,1
112.23,110.36,0
110.36,110.52,1
110.52,110.72,1
110.72,111.58,1
111.58,109.85,0
109.85,110.68,1
110.68,110.18,0
110.18,110.63,1
110.63,110.68,1
110.68,111.52,1
111.52,111.69,1
111.69,113.63,1
113.63,113.88,1
113.88,114.9,1
114.9,114.54,0
114.54,115.18,1
115.18,115.11,0
115.11,115.03,0
115.03,114.68,0
114.68,114.62,0
114.62,114.17,0
114.17,115.2,1
115.2,115.78,1
115.78,113.17,0
113.17,112.1,0
112.1,111.35,0
111.35,111.17,0
111.17,109.17,0
109.17,109.27,1
109.27,108.09,0
108.09,107.11,0
107.11,108.66,1
108.66,109.31,1
109.31,109.13,0
109.13,106.08,0
106.08,106.72,1
106.72,104.04,0
104.04,105.41,1
105.41,108.25,1
108.25,108.21,0
108.21,108.31,1
108.31,109.96,1
109.96,110.03,1
110.03,109.47,0
109.47,110.02,1
110.02,109.81,0
109.81,109.7,0
109.7,108.77,0
108.77,107.76,0
107.76,108.16,1
108.16,107.38,0
107.38,108.21,1
108.21,109.28,1
109.28,110.35,1
110.35,112.15,1
112.15,111.51,0
111.51,113.36,1
113.36,113.36,0
113.36,113.99,1
113.99,114.14,1
114.14,114.8,1
114.8,115.11,1
115.11,115.21,1
115.21,114.45,0
114.45,114.68,1
114.68,115.41,1
115.41,114.92,0
114.92,114.89,0
114.89,113.99,0
113.99,114.31,1
114.31,114.19,0
