t-1,t-2,t-3,t-4,t-5,t,movement
3421022308.8,6707803694.27,6554497195.96,4914548106.629999,141.99,147.24,1
4070790366.12,3421022308.8,6707803694.27,6554497195.96,144.89,151.24,1
7449096466.440001,4070790366.12,3421022308.8,6707803694.27,145.81,152.21,1
6010534691.35,7449096466.440001,4070790366.12,3421022308.8,145.37,151.49,0
3951173844.73,6010534691.35,7449096466.440001,4070790366.12,144.84,152.8,1
4193550618.4,3951173844.73,6010534691.35,7449096466.440001,147.24,154.93,1
5062375707.85,4193550618.4,3951173844.73,6010534691.35,151.24,154.53,0
4034830994.73,5062375707.85,4193550618.4,3951173844.73,152.21,154.31,0
3108871533.82,4034830994.73,5062375707.85,4193550618.4,151.49,149.12,0
7614330844.16,3108871533.82,4034830994.73,5062375707.85,152.8,151.4,1
5120527106.2,7614330844.16,3108871533.82,4034830994.73,154.93,151.91,1
4115417963.69,5120527106.2,7614330844.16,3108871533.82,154.53,152.84,1
3531709033.2000003,4115417963.69,5120527106.2,7614330844.16,154.31,152.65,0
3062004670.85,3531709033.2000003,4115417963.69,5120527106.2,149.12,152.19,0
2945133092.34,3062004670.85,3531709033.2000003,4115417963.69,151.4,152.72,1
2957256946.08,2945133092.34,3062004670.85,3531709033.2000003,151.91,152.46,0
3362806256.04,2957256946.08,2945133092.34,3062004670.85,152.84,152.52,1
3091675572.48,3362806256.04,2957256946.08,2945133092.34,152.65,151.61,0
3735685257.78,3091675572.48,3362806256.04,2957256946.08,152.19,152.03,1
2509692844.37,3735685257.78,3091675572.48,3362806256.04,152.72,154.29,1
4306697850.03,2509692844.37,3735685257.78,3091675572.48,152.46,152.78,0
3892098611.52,4306697850.03,2509692844.37,3735685257.78,152.52,153.3,1
4107581673.3,3892098611.52,4306697850.03,2509692844.37,151.61,154.21,1
3265978738.54,4107581673.3,3892098611.52,4306697850.03,152.03,153.83,0
3277502441.49,3265978738.54,4107581673.3,3892098611.52,154.29,147.87,0
9652490175.42,3277502441.49,3265978738.54,4107581673.3,152.78,144.33,0
10499565128.55,9652490175.42,3277502441.49,3265978738.54,153.3,145.5,1
4998432358.5,10499565128.55,9652490175.42,3277502441.49,154.21,144.07,0
4566017137.219999,4998432358.5,10499565128.55,9652490175.42,153.83,143.22,0
4568865086.94,4566017137.219999,4998432358.5,10499565128.55,147.87,141.2,0
7151296248.799999,4568865086.94,4566017137.219999,4998432358.5,144.33,145.25,1
4751270716.5,7151296248.799999,4568865086.94,4566017137.219999,145.5,143.92,0
3608608055.36,4751270716.5,7151296248.799999,4568865086.94,144.07,144.78,1
3102057438.24,3608608055.36,4751270716.5,7151296248.799999,143.22,144.54,0
2779496828.46,3102057438.24,3608608055.36,4751270716.5,141.2,145.19,1
5181922279.32,2779496828.46,3102057438.24,3608608055.36,145.25,144.73,0
3744555871.0,5181922279.32,2779496828.46,3102057438.24,143.92,142.66,0
3554769496.18,3744555871.0,5181922279.32,2779496828.46,144.78,144.74,1
3216451794.02,3554769496.18,3744555871.0,5181922279.32,144.54,142.61,0
4519533514.21,3216451794.02,3554769496.18,3744555871.0,145.19,142.95,1
3313220623.05,4519533514.21,3216451794.02,3554769496.18,144.73,142.43,0
2048918788.92,3313220623.05,4519533514.21,3216451794.02,142.66,143.02,1
3105480216.1600003,2048918788.92,3313220623.05,4519533514.21,144.74,141.66,0
3441263367.24,3105480216.1600003,2048918788.92,3313220623.05,142.61,143.11,1
2699077640.71,3441263367.24,3105480216.1600003,2048918788.92,142.95,143.97,1
3057865355.97,2699077640.71,3441263367.24,3105480216.1600003,142.43,144.44,1
2870227182.6,3057865355.97,2699077640.71,3441263367.24,143.02,144.65,1
