t-1,t,movement
116.68199999999996,129.05700000000002,1
129.05700000000002,137.77949999999998,1
137.77949999999998,140.98250000000002,1
140.98250000000002,148.154,1
148.154,149.94349999999997,1
149.94349999999997,144.569,0
144.569,153.57000000000002,1
153.57000000000002,160.128,1
160.128,154.59250000000003,0
154.59250000000003,162.61749999999998,1
162.61749999999998,174.95999999999998,1
