Date,t-5,t-4,t-3,t-2,t-1,t,movement
2015-03-31,118.24,5047112923.2,4037852302.2,4736315809.74,4409502601.440001,119.37,0
2015-04-01,118.08,4037852302.2,4736315809.74,4409502601.440001,4688734826.85,120.28,1
2015-04-02,119.1,4736315809.74,4409502601.440001,4688734826.85,4105509060.96,120.78,1
2015-04-06,121.02,4409502601.440001,4688734826.85,4105509060.96,5107426637.94,120.54,0
2015-04-07,119.76,4688734826.85,4105509060.96,5107426637.94,4612408495.38,120.03,0
2015-04-08,119.37,4105509060.96,5107426637.94,4612408495.38,3223731411.42,120.48,1
2015-04-09,120.28,5107426637.94,4612408495.38,3223731411.42,3669572490.7200003,119.91,0
2015-04-10,120.78,4612408495.38,3223731411.42,3669572490.7200003,3579405830.7,118.55,0
2015-04-13,120.54,3223731411.42,3669572490.7200003,3579405830.7,6481229741.7,121.27,1
2015-04-14,120.03,3669572490.7200003,3579405830.7,6481229741.7,6003222867.7699995,120.6,0
2015-04-15,120.48,3579405830.7,6481229741.7,6003222867.7699995,4111847352.0,122.22,1
2015-04-16,119.91,6481229741.7,6003222867.7699995,4111847352.0,4838152520.88,123.24,1
2015-04-17,118.55,6003222867.7699995,4111847352.0,4838152520.88,5935440020.639999,123.82,1
2015-04-20,121.27,4111847352.0,4838152520.88,5935440020.639999,5801167093.12,126.06,1
2015-04-21,120.6,4838152520.88,5935440020.639999,5801167093.12,12860437108.86,124.06,0
2015-04-22,122.22,5935440020.639999,5801167093.12,12860437108.86,15524333701.4,122.24,0
2015-04-23,123.24,5801167093.12,12860437108.86,15524333701.4,8153019521.28,118.94,0
2015-04-24,123.82,12860437108.86,15524333701.4,8153019521.28,10412117143.74,122.54,1
2015-04-27,126.06,15524333701.4,8153019521.28,10412117143.74,7544649574.88,122.3,0
2015-04-28,124.06,8153019521.28,10412117143.74,7544649574.88,6561572579.599999,119.57,0
2015-04-29,122.24,10412117143.74,7544649574.88,6561572579.599999,6199104139.03,118.8,0
2015-04-30,118.94,7544649574.88,6561572579.599999,6199104139.03,9011928855.6,119.55,1
2015-05-01,122.54,6561572579.599999,6199104139.03,9011928855.6,5457789729.45,121.79,1
2015-05-04,122.3,6199104139.03,9011928855.6,5457789729.45,7089237816.58,120.54,0
2015-05-05,119.57,9011928855.6,5457789729.45,7089237816.58,5309467569.0,120.12,0
2015-05-06,118.8,5457789729.45,7089237816.58,5309467569.0,6061827451.68,120.26,1
2015-05-07,119.55,7089237816.58,5309467569.0,6061827451.68,4371998904.56,123.07,1
2015-05-08,121.79,5309467569.0,6061827451.68,4371998904.56,5829412754.009999,122.89,0
2015-05-11,120.54,6061827451.68,4371998904.56,5829412754.009999,4918253195.1,124.23,1
2015-05-12,120.12,4371998904.56,5829412754.009999,4918253195.1,6616041702.39,124.11,0
2015-05-13,120.26,5829412754.009999,4918253195.1,6616041702.39,5804525039.67,124.1,0
2015-05-14,123.07,4918253195.1,6616041702.39,5804525039.67,4740559066.9,125.41,1
2015-05-15,122.89,6616041702.39,5804525039.67,4740559066.9,5221021965.84,126.49,1
2015-05-18,124.23,5804525039.67,4740559066.9,5221021965.84,6043429986.23,123.72,0
2015-05-19,124.11,4740559066.9,5221021965.84,6043429986.23,9160733701.32,126.01,1
2015-05-20,124.1,5221021965.84,6043429986.23,9160733701.32,6051829723.83,125.75,0
