Date,t-1,t,movement
2017-09-19,3268908766.56,155.51,0
2017-09-20,8146673600.65,152.84,0
2017-09-21,5732149875.68,151.35,0
2017-09-22,7075726466.55,150.01,0
2017-09-25,6679693283.2,152.59,1
2017-09-26,5608886435.1,153.68,1
2017-09-27,3918024420.2400002,152.73,0
2017-09-28,3369734070.93,153.57,1
2017-09-29,4048026111.45,153.26,0
2017-10-02,2873603543.6,153.92,1
2017-10-03,2505430645.12,152.93,0
2017-10-04,3087393201.61,154.83,1
2017-10-05,3304351358.4900002,154.74,0
2017-10-06,2699941121.82,155.28,1
2017-10-09,2531404063.2,155.34,1
2017-10-10,2432603584.44,155.99,1
2017-10-11,2642823293.3900003,155.44,0
2017-10-12,2555433755.44,156.43,1
2017-10-13,2570561942.38,159.31,1
2017-10-16,3852564098.34,159.9,1
2017-10-17,3044585064.3,159.19,0
2017-10-18,2597160971.5,155.42,0
2017-10-19,6611444173.62,155.69,1
2017-10-20,3736188679.35,155.61,0
2017-10-23,3429499215.8700004,156.54,1
2017-10-24,2771030379.6,155.85,0
2017-10-25,3312378079.65,156.85,1
2017-10-26,2665445062.0499997,162.47,1
2017-10-27,7239829731.75,166.12,1
2017-10-30,7452386565.8,168.43,1
2017-10-31,6093192904.7300005,166.29,0
2017-11-01,5613731728.65,167.51,1
2017-11-02,6958730069.2699995,171.88,1
2017-11-03,10246138232.68,173.63,1
2017-11-06,6059902474.83,174.18,1
2017-11-07,4254325075.86,175.61,1
2017-11-08,4293869261.26,175.25,0
2017-11-09,5175673321.5,174.67,0
