Date,t-1,t,movement
2015-07-21,10036009855.3,119.51,0
2015-07-22,14457791207.27,119.45,0
2015-07-23,6383409672.3,118.81,0
2015-07-24,5249026869.29,117.17,0
2015-07-27,5458124485.84,117.75,1
2015-07-28,4147957466.25,117.39,0
2015-07-29,4552721578.86,116.78,0
2015-07-30,4115035483.56,115.76,0
2015-07-31,5201928998.64,113.02,0
2015-08-03,8283405103.96,109.41,0
2015-08-04,14231981574.09,110.13,1
2015-08-05,11460709396.529999,110.37,1
2015-08-06,6087845300.55,110.74,1
2015-08-07,4467075523.4,114.78,1
2015-08-10,6579393908.4,108.8,0
2015-08-11,11011919238.4,110.47,1
2015-08-12,11717742135.11,110.38,0
2015-08-13,5588455511.2,111.16,1
2015-08-14,4977880748.68,112.32,1
2015-08-17,4790248407.36,111.68,0
2015-08-18,4026225265.92,110.25,0
2015-08-19,5553214332.75,107.98,0
2015-08-20,7715856780.9800005,101.4,0
2015-08-21,13568175613.2,98.855,0
2015-08-24,16722219568.285,99.452,1
2015-08-25,10747813144.364,105.15,1
2015-08-26,10614774837.150002,108.25,1
2015-08-27,9554776205.75,108.6,1
2015-08-28,6022694817.0,108.09,0
2015-08-31,6339974957.37,103.26,0
2015-09-01,8277370235.46,107.7,1
2015-09-02,6952930525.5,105.81,0
2015-09-03,5875639246.14,104.74,0
2015-09-04,5462488775.82,107.67,1
2015-09-08,6159717363.42,105.6,0
2015-09-09,9364360790.4,107.92,1
2015-09-10,7078270989.6,109.49,1
2015-09-11,5700975137.95,110.54,1
2015-09-14,6729769269.54,111.47,1
2015-09-15,5039622906.72,111.59,1
2015-09-16,4327107575.6,109.22,0
2015-09-17,7304423788.38,108.76,0
2015-09-18,8427749427.96,110.44,1
2015-09-21,5785749936.559999,108.71,0
2015-09-22,5709202537.009999,109.59,1
2015-09-23,4087602779.9100003,110.24,1
2015-09-24,5766367996.48,109.96,0
2015-09-25,6440792421.679999,107.8,0
2015-09-28,5857277533.8,104.55,0
2015-09-29,8001194562.9,105.74,1
2015-09-30,7332037929.259999,105.04,0
2015-10-01,7004762774.88,105.82,1
2015-10-02,6404472431.5,106.2,1
2015-10-05,5766898950.0,106.71,1
2015-10-06,5438400026.16,106.2,0
2015-10-07,5180727094.2,104.96,0
2015-10-08,6785971217.919999,107.49,1
2015-10-09,5912821636.41,106.99,0
2015-10-12,3399442271.4199996,107.16,1
2015-10-13,3694313674.2,105.66,0
2015-10-14,4900541864.04,107.23,1
2015-10-15,4213967968.15,106.44,0
2015-10-16,4356042204.84,107.1,1
2015-10-19,3324682594.7999997,109.08,1
2015-10-20,5571799964.28,109.07,0
2015-10-21,4815727463.17,110.72,1
2015-10-22,4810862279.04,114.16,1
2015-10-23,7069658925.76,110.51,0
2015-10-26,7646733040.42,109.81,0
2015-10-27,8005016898.57,114.34,1
2015-10-28,10203869794.14,115.54,1
2015-10-29,6174104047.6,114.56,0
2015-10-30,5899212440.32,116.16,1
2015-11-02,3901267518.72,117.51,1
2015-11-03,5579656118.940001,116.95,0
2015-11-04,5471910630.900001,116.42,0
2015-11-05,4782860158.1,116.56,1
2015-11-06,4000401443.04,116.07,0
2015-11-09,4083550945.6499996,112.43,0
2015-11-10,6904937244.620001,111.79,0
2015-11-11,5250472790.150001,111.41,0
2015-11-12,3763857948.63,108.15,0
2015-11-13,5146294714.05,109.92,1
2015-11-16,4350740002.56,109.46,0
2015-11-17,3139897316.3999996,112.91,1
2015-11-18,5473915528.13,114.36,1
2015-11-19,5142865491.12,114.86,1
2015-11-20,4090565691.12,113.35,0
2015-11-23,3824336053.0,114.45,1
2015-11-24,5087459983.2,113.63,0
2015-11-25,2524377831.47,113.41,0
2015-11-27,1536834447.1699998,113.9,1
2015-11-30,4635286131.7,112.95,0
2015-12-01,4088872227.6,111.95,0
2015-12-02,3880188455.35,110.91,0
2015-12-03,4787945326.95,114.6,1
2015-12-04,6877394452.799999,113.88,0
2015-12-07,3795104637.48,113.83,0
2015-12-08,4056531821.65,111.31,0
2015-12-09,5360124367.82,111.84,1
2015-12-10,3393547475.52,108.97,0
2015-12-11,5306841724.25,108.29,0
2015-12-14,7309261175.580001,106.37,0
2015-12-15,5891415095.83,107.19,1
2015-12-16,6261412309.74,104.91,0
2015-12-17,4878835983.059999,102.09,0
2015-12-18,10227873684.57,103.33,1
2015-12-21,5107786034.059999,103.23,0
2015-12-22,3515376251.52,104.56,1
2015-12-23,3546752992.64,104.01,0
2015-12-24,1468902651.0600002,102.83,0
2015-12-28,2852230569.37,104.68,1
2015-12-29,3363149409.44,103.32,0
2015-12-30,2387425778.64,101.35,0
2015-12-31,4087621342.25,101.44,1
2016-01-04,6619990934.72,98.885,0
2016-01-05,5415317275.265,96.949,0
2016-01-06,6771760452.912,92.857,0
2016-01-07,7389994166.475,93.349,1
2016-01-08,6745712766.036,94.86,1
2016-01-11,4900817823.12,96.238,1
2016-01-12,4695341923.728,93.762,0
2016-01-13,5966364753.198,95.814,1
2016-01-14,6136651572.443999,93.512,0
2016-01-15,7606995006.04,93.059,0
2016-01-19,5131417594.509,93.184,1
2016-01-20,6740201022.464,92.712,0
2016-01-21,4482050200.176001,97.641,1
2016-01-22,6521137945.362,95.736,0
2016-01-25,4935445744.968,96.266,1
2016-01-26,6059678909.574,89.941,0
2016-01-27,12248494833.883,90.585,1
2016-01-28,5183443275.12,93.715,1
2016-01-29,5997935528.195001,92.839,0
2016-02-01,3708411520.416,90.961,0
