Date,Volume (t-10),Volume (t-9),Volume (t-8),Volume (t-7),Volume (t-6),Volume (t-5),Volume (t-4),Volume (t-3),Volume (t-2),Volume (t-1),Close (t-10),Close (t-9),Close (t-8),Close (t-7),Close (t-6),Close (t-5),Close (t-4),Close (t-3),Close (t-2),Close (t-1),Close (t),movement
2005-01-09,270112080.0,559604920.0,224038150.0,192409840.0,233738120.0,245000280.0,395232600.0,312438350.0,187311600.0,210224420.0,4.650428676605225,4.842571544647217,5.026428461074829,5.166857051849365,5.581571388244629,5.687857151031494,6.2541428565979,6.27571427822113,6.230856990814209,5.79228572845459,5.933428573608398,1
2005-01-16,559604920.0,224038150.0,192409840.0,233738120.0,245000280.0,395232600.0,312438350.0,187311600.0,210224420.0,177693880.0,4.842571544647217,5.026428461074829,5.166857051849365,5.581571388244629,5.687857151031494,6.2541428565979,6.27571427822113,6.230856990814209,5.79228572845459,5.933428573608398,6.127857089042664,1
2005-01-23,224038150.0,192409840.0,233738120.0,245000280.0,395232600.0,312438350.0,187311600.0,210224420.0,177693880.0,128441950.0,5.026428461074829,5.166857051849365,5.581571388244629,5.687857151031494,6.2541428565979,6.27571427822113,6.230856990814209,5.79228572845459,5.933428573608398,6.127857089042664,5.989714336395264,0
2005-01-30,192409840.0,233738120.0,245000280.0,395232600.0,312438350.0,187311600.0,210224420.0,177693880.0,128441950.0,120457260.0,5.166857051849365,5.581571388244629,5.687857151031494,6.2541428565979,6.27571427822113,6.230856990814209,5.79228572845459,5.933428573608398,6.127857089042664,5.989714336395264,6.074571418762207,1
2005-02-06,233738120.0,245000280.0,395232600.0,312438350.0,187311600.0,210224420.0,177693880.0,128441950.0,120457260.0,135400860.0,5.581571388244629,5.687857151031494,6.2541428565979,6.27571427822113,6.230856990814209,5.79228572845459,5.933428573608398,6.127857089042664,5.989714336395264,6.074571418762207,5.663714408874512,0
2005-02-13,245000280.0,395232600.0,312438350.0,187311600.0,210224420.0,177693880.0,128441950.0,120457260.0,135400860.0,382797520.0,5.687857151031494,6.2541428565979,6.27571427822113,6.230856990814209,5.79228572845459,5.933428573608398,6.127857089042664,5.989714336395264,6.074571418762207,5.663714408874512,5.1685715675354,0
2005-02-20,395232600.0,312438350.0,187311600.0,210224420.0,177693880.0,128441950.0,120457260.0,135400860.0,382797520.0,247633680.0,6.2541428565979,6.27571427822113,6.230856990814209,5.79228572845459,5.933428573608398,6.127857089042664,5.989714336395264,6.074571418762207,5.663714408874512,5.1685715675354,5.163428497314453,0
2005-02-27,312438350.0,187311600.0,210224420.0,177693880.0,128441950.0,120457260.0,135400860.0,382797520.0,247633680.0,170879660.0,6.27571427822113,6.230856990814209,5.79228572845459,5.933428573608398,6.127857089042664,5.989714336395264,6.074571418762207,5.663714408874512,5.1685715675354,5.163428497314453,5.248857116699218,1
2005-03-06,187311600.0,210224420.0,177693880.0,128441950.0,120457260.0,135400860.0,382797520.0,247633680.0,170879660.0,106222480.0,6.230856990814209,5.79228572845459,5.933428573608398,6.127857089042664,5.989714336395264,6.074571418762207,5.663714408874512,5.1685715675354,5.163428497314453,5.248857116699218,5.082857131958008,0
2005-03-13,210224420.0,177693880.0,128441950.0,120457260.0,135400860.0,382797520.0,247633680.0,170879660.0,106222480.0,225544760.0,5.79228572845459,5.933428573608398,6.127857089042664,5.989714336395264,6.074571418762207,5.663714408874512,5.1685715675354,5.163428497314453,5.248857116699218,5.082857131958008,5.195714378356934,1
